クラス,ID,氏名,学生Mail,保護者Mail,専門基礎,運動学,臨床心理学,リハ概論,生理学,解剖学
3FA,2024001,佐藤 健一,student01@example.com,parent_student01@example.com,91,75,88,84,72,78
3FA,2024002,鈴木 花子,student02@example.com,parent_student02@example.com,71,67,75,75,69,74
3FA,2024003,高橋 大輔,student03@example.com,parent_student03@example.com,78,89,79,70,85,93
3FA,2024004,田中 美咲,student04@example.com,parent_student04@example.com,81,67,74,82,65,87
3FA,2024005,伊藤 翔太,student05@example.com,parent_student05@example.com,71,94,74,69,69,88
3FB,2024006,渡辺 明日香,student06@example.com,parent_student06@example.com,71,67,76,71,67,81
3FB,2024007,山本 陸,student07@example.com,parent_student07@example.com,79,63,64,85,80,83
3FB,2024008,中村 結衣,student08@example.com,parent_student08@example.com,75,68,83,71,64,65
3FB,2024009,小林 翼,student09@example.com,parent_student09@example.com,68,76,69,89,83,68
3FB,2024010,加藤 さくら,student10@example.com,parent_student10@example.com,68,72,69,66,67,80
