クラス,ID,氏名,学生Mail,保護者Mail,専門基礎,運動学,臨床心理学,リハ概論,生理学,解剖学
3FA,2024001,佐藤 健一,student01@example.com,parent_student01@example.com,64,63,56,56,58,54
3FA,2024002,鈴木 花子,student02@example.com,parent_student02@example.com,56,55,50,64,65,44
3FA,2024003,高橋 大輔,student03@example.com,parent_student03@example.com,50,51,43,56,45,54
3FA,2024004,田中 美咲,student04@example.com,parent_student04@example.com,49,60,57,45,48,47
3FA,2024005,伊藤 翔太,student05@example.com,parent_student05@example.com,42,65,61,40,40,49
3FB,2024006,渡辺 明日香,student06@example.com,parent_student06@example.com,47,67,48,53,55,53
3FB,2024007,山本 陸,student07@example.com,parent_student07@example.com,52,42,59,64,54,49
3FB,2024008,中村 結衣,student08@example.com,parent_student08@example.com,63,62,53,66,45,61
3FB,2024009,小林 翼,student09@example.com,parent_student09@example.com,59,45,45,56,50,60
3FB,2024010,加藤 さくら,student10@example.com,parent_student10@example.com,58,58,47,40,63,58
