クラス,ID,氏名,学生Mail,保護者Mail,専門基礎,運動学,臨床心理学,リハ概論,生理学,解剖学
3FA,2024001,佐藤 健一,student01@example.com,parent_student01@example.com,84,78,79,76,79,65
3FA,2024002,鈴木 花子,student02@example.com,parent_student02@example.com,71,78,91,67,79,89
3FA,2024003,高橋 大輔,student03@example.com,parent_student03@example.com,74,72,83,91,84,93
3FA,2024004,田中 美咲,student04@example.com,parent_student04@example.com,71,82,92,77,80,77
3FA,2024005,伊藤 翔太,student05@example.com,parent_student05@example.com,71,85,70,74,94,89
3FB,2024006,渡辺 明日香,student06@example.com,parent_student06@example.com,74,87,97,92,78,90
3FB,2024007,山本 陸,student07@example.com,parent_student07@example.com,73,96,91,87,73,81
3FB,2024008,中村 結衣,student08@example.com,parent_student08@example.com,94,87,84,90,82,76
3FB,2024009,小林 翼,student09@example.com,parent_student09@example.com,87,68,70,90,70,83
3FB,2024010,加藤 さくら,student10@example.com,parent_student10@example.com,88,70,81,76,75,77
