クラス,ID,氏名,学生Mail,保護者Mail,専門基礎,運動学,臨床心理学,リハ概論,生理学,解剖学
3FA,2024001,佐藤 健一,student01@example.com,parent_student01@example.com,59,71,53,76,51,68
3FA,2024002,鈴木 花子,student02@example.com,parent_student02@example.com,76,70,63,68,76,54
3FA,2024003,高橋 大輔,student03@example.com,parent_student03@example.com,69,67,61,53,62,75
3FA,2024004,田中 美咲,student04@example.com,parent_student04@example.com,74,65,67,73,59,63
3FA,2024005,伊藤 翔太,student05@example.com,parent_student05@example.com,52,69,67,68,68,51
3FB,2024006,渡辺 明日香,student06@example.com,parent_student06@example.com,51,65,70,67,70,63
3FB,2024007,山本 陸,student07@example.com,parent_student07@example.com,67,81,81,78,78,61
3FB,2024008,中村 結衣,student08@example.com,parent_student08@example.com,69,55,57,61,55,57
3FB,2024009,小林 翼,student09@example.com,parent_student09@example.com,66,50,54,53,54,66
3FB,2024010,加藤 さくら,student10@example.com,parent_student10@example.com,51,56,72,59,67,65
