クラス,ID,氏名,学生Mail,保護者Mail,専門基礎,運動学,臨床心理学,リハ概論,生理学,解剖学
3FA,2024001,佐藤 健一,student01@example.com,parent_student01@example.com,80,69,64,77,67,67
3FA,2024002,鈴木 花子,student02@example.com,parent_student02@example.com,78,75,74,62,58,57
3FA,2024003,高橋 大輔,student03@example.com,parent_student03@example.com,61,76,67,63,81,77
3FA,2024004,田中 美咲,student04@example.com,parent_student04@example.com,84,71,79,67,60,79
3FA,2024005,伊藤 翔太,student05@example.com,parent_student05@example.com,68,82,73,77,76,74
3FB,2024006,渡辺 明日香,student06@example.com,parent_student06@example.com,87,82,70,85,89,85
3FB,2024007,山本 陸,student07@example.com,parent_student07@example.com,63,78,83,64,73,82
3FB,2024008,中村 結衣,student08@example.com,parent_student08@example.com,66,76,70,82,76,81
3FB,2024009,小林 翼,student09@example.com,parent_student09@example.com,68,63,84,81,75,70
3FB,2024010,加藤 さくら,student10@example.com,parent_student10@example.com,61,83,85,63,81,80
